English,Gloss_Translation
"Three of the most famous deaf pilots are Cal Rodgers, Nellie Zabel Willhite, and Rhulin Thomas.","FAMOUS DEAF PILOT THREE WHO? CAL RODGERS, NELLIE ZABEL WILLHITE, RHULIN THOMAS"
I. King Jordan was the first Deaf President of Gallaudet University.,GALLAUDET UNIVERSITY FIRST DEAF PRESIDENT WHO? NMF:ME KING JORDAN
Christy Smith was the first deaf contestant to appear on the reality TV show Survivor.,"CHRISTY SMITH FIRST DEAF PERSON REALITY TV SHOW ""SURVIVOR"" APPEAR"
Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years.,LINDA BOVE DEAF ACTRESS. POINT-RIGHT SHE WORK SESAME STREET THIRTY-ONE YEAR. ROLE WHAT LINDA LIBRARIAN.
Jeff Float is a deaf American swimmer who won a gold medal at the 1984 Olympics.,JEFF FLOAT DEAF AMERICAN SWIMMER GOLD MEDAL WIN NINETEEN EIGHTY-FOUR OLYMPICS
The closed captions on our TV are always on.,TV CAPTIONS ALWAYS ON
Dr. Charles Nicolle was born hearing but became deaf by the age of 20. He was the first deaf person to receive a Nobel Prize. It was for discovering that Typhus is spread by lice.,DR CHARLES NICOLLE BORN HEARING BECOME DEAF AGE TWENTY. POINT-RIGHT HE FIRST DEAF PERSON RECEIVE NOBEL PRIZE. WHY DISCOVER TYPHUS SPREAD HOW LICE.
"As a young girl, Alice Cogswell, inspired her neighbor, Thomas Hopkins Gallaudet, to devote his life to educating the deaf and to create the American School for the Deaf. She and six other deaf children were the first students to attend the American School for the Deaf in 1817.","YOUNG GIRL ALICE COGSWELL INSPIRE NEIGHBOR THOMAS HOPKINS GALLAUDET LIFE DEVOTE EDUCATE DEAF ALSO CREATE AMERICAN SCHOOL FOR DEAF. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] ALSO SIX OTHER DEAF CHILDREN FIRST STUDENT ATTEND AMERICAN SCHOOL FOR DEAF YEAR EIGHTEEN SEVENTEEN."
"Juliette Gordon Low was sick often while growing up and lost her hearing in her right ear. On her wedding day, rice went into her left ear and when the doctor tried to take it out, he punctured her eardrum. Then she was deaf in both ears. She founded the Girl Scouts when she was 51 years old because she wanted girls to have the same opportunities as boys.","JULIETTE GORDON LOW GROW-UP OFTEN SICK POINT-RIGHT SHE RIGHT EAR HEARING LOSE

WEDDING DAY RICE LEFT EAR ENTER DOCTOR TRY REMOVE POINT-RIGHT HE EARDRUM DAMAGE

AFTER BOTH EAR DEAF

POINT-RIGHT SHE AGE FIFTY-ONE GIRL SCOUTS ESTABLISH WHY POINT-RIGHT SHE WANT GIRL BOY SAME OPPORTUNITY HAVE"
"The man who invented the TTY was Robert Weitbrecht, he was deaf.",TTY INVENT WHO ROBERT WEITBRECHT POINT-RIGHT HE DEAF
"Helen Keller was a famous deaf-blind woman. She was an author, lecturer, and activist.","HELEN KELLER FAMOUS DEAF-BLIND WOMAN. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] AUTHOR LECTURER ACTIVIST ALSO."
"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","MATT HAMILL NMF:PERSON DEAF WRESTLER

POINT-RIGHT HE WIN THREE NCAA NATIONAL CHAMPIONSHIP

ALSO WIN SILVER GOLD MEDAL DEAFLYMPICS

ALSO MOVIE ABOUT POINT-RIGHT HE LIFE TITLE ""THE HAMMER"""
Ludwig van Beethoven was a famous composer from Germany who became deaf. He was still able to create and play music.,"LUDWIG VAN BEETHOVEN FAMOUS COMPOSER FROM GERMANY BECOME DEAF ['POINT-RIGHT HE', 'NMF:PERSON MAN'] STILL CREATE PLAY MUSIC"
"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""","FS:PHYLLIS FS:FRELICH SN:PHYLLIS-FRELICH DEAF ACTRESS FAMOUS WHY WIN NINETEEN-EIGHTY BEST ACTRESS TONY AWARD PLAY TITLE ""CHILDREN OF A LESSER GOD"""
"Robert Davila served as the ninth president of Gallaudet University from 2007 to 2009. Prior to becoming the president of Gallaudet University, he was the first Deaf CEO of the National Technical Institute for the Deaf.","ROBERT DAVILA SERVE PRESIDENT NINE GALLAUDET UNIVERSITY FROM TWO THOUSAND SEVEN TO TWO THOUSAND NINE. BEFORE BECOME PRESIDENT GALLAUDET UNIVERSITY, POINT-RIGHT HE FIRST DEAF CEO NATIONAL TECHNICAL INSTITUTE FOR DEAF."
American Sign Language was recognized as a true language in 1965.,AMERICAN SIGNING RECOGNIZED TRUE LANGUAGE NINETEEN SIXTY-FIVE
Sir John Cornforth was a deaf chemist who won the Nobel Prize in Chemistry in 1975.,DEAF CHEMIST NAME FS:JOHN FS:CORNFORTH WIN NOBEL PRIZE CHEMISTRY YEAR NINETEEN SEVENTY-FIVE
Deaf people use a teletypewriter to communicate over the phone.,DEAF PEOPLE USE TELETYPEWRITER COMMUNICATE PHONE
"Morris Broderson is a deaf painter. His artwork has been displayed many places, such as at Gallaudet University, NTID, and the Guggenheim and Whitney Museums.",MORRIS BRODERSON DEAF PAINTER. HIS ARTWORK DISPLAY NMF:MANY PLACE INCLUDE GALLAUDET UNIVERSITY NTID ALSO GUGGENHEIM WHITNEY MUSEUM
Keith Wann is a CODA and well-known ASL performer and comedian.,FS:KEITH FS:WANN SN:KEITH-WANN CODA ALSO FAMOUS FS:ASL PERFORMER COMEDIAN
CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,"CJ JONES FAMOUS DEAF ACTOR ALSO COMEDIAN. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] SAY ANYTHING POSSIBLE. SUCCESS NOTHING CONNECT DEAF NMF:OR BLACK NMF:OR ANY DISABILITY. SUCCESS CONNECT YOUR PASSION DO GREATER THINGS LIFE."
Roy Holcomb was a deaf teacher who coined the term total communication.,ROY HOLCOMB DEAF TEACHER. HE INVENT TERM MEAN WHAT TOTAL COMMUNICATION.
Heather Whitestone was the first deaf person to be crowned as Miss America in 1995.,HEATHER WHITESTONE FIRST DEAF PERSON WIN MISS AMERICA NINETEEN NINETY-FIVE
"Thomas H. Gallaudet was a minister, educator, and co-founded the first school for the deaf called the American School for the Deaf in Hartford, Connecticut. Gallaudet University was named in honor of him in 1894.",THOMAS H. GALLAUDET WHO MINISTER EDUCATOR ALSO CO-FOUND FIRST SCHOOL DEAF NAME AMERICAN SCHOOL FOR DEAF PLACE HARTFORD CONNECTICUT. GALLAUDET UNIVERSITY NAME HONOR HIM YEAR EIGHTEEN NINETY-FOUR.
"Rush Limbaugh is a radio host. He is deaf, but uses cochlear implants to hear.","RUSH LIMBAUGH RADIO HOST. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] DEAF BUT COCHLEAR-IMPLANT USE HEAR"
Laurent Clerc is one of the founders of the first school for the deaf here in America.,LAURENT CLERC ONE FOUNDER FIRST DEAF SCHOOL AMERICA
Deaf Awareness Week is in September.,DEAF AWARENESS WEEK SEPTEMBER
Sean Forbes is a deaf hip-hop artist who makes music accessible to the deaf community.,SEAN FORBES WHO DEAF HIP-HOP ARTIST. HE MUSIC CREATE HOW DEAF COMMUNITY ACCESS-CAN
There was a famous protest at Gallaudet University in 1988 called Deaf President Now.,"GALLAUDET UNIVERSITY NINETEEN EIGHTY-EIGHT FAMOUS PROTEST HAPPEN NAME ""DEAF PRESIDENT NOW"""
Deaf history includes the history of deaf people and their culture.,DEAF HISTORY INCLUDE DEAF PEOPLE CULTURE HISTORY
"Ashley Fiolek is a Deaf Motocross Racer. She started motorcycling when she was three years old. She won four Woman Motocross Championships in 2008, 2009, 2011, 2012. She is now retired.","FS:ASHLEY FS:FIOLEK SN:ASHLEY-FIOLEK DEAF MOTOCROSS RACER

AGE THREE MOTORCYCLING START

WOMAN MOTOCROSS CHAMPIONSHIP WIN FOUR TIME YEAR TWO-THOUSAND EIGHT TWO-THOUSAND NINE TWO-THOUSAND ELEVEN TWO-THOUSAND TWELVE

NOW RETIRE FINISH"
"Alexander Graham Bell was a famous inventor who was involved in deaf education, but ironically he did not support the use of American Sign Language.",ALEXANDER GRAHAM BELL FAMOUS INVENTOR INVOLVED DEAF EDUCATION BUT IRONY POINT-RIGHT HE SUPPORT NOT AMERICAN SIGNING
Douglas Tilden is a famous deaf sculptor and has many statues that he created in California.,"DOUGLAS TILDEN FAMOUS DEAF SCULPTOR CALIFORNIA STATUE NMF:MANY ['POINT-RIGHT HE', 'NMF:PERSON MAN'] CREATE"
"Curtis Pride is deaf and was a baseball player. He played for many teams, such as the Detroit Tigers, Atlanta Braves, and New York Yankees. He is currently the coach for the Gallaudet University baseball team.","CURTIS PRIDE DEAF BASEBALL PLAYER PAST. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] PLAY NMF:MANY TEAM INCLUDE DETROIT TIGERS ATLANTA BRAVES NEW YORK YANKEES. NOW ['POINT-RIGHT HE', 'NMF:PERSON MAN'] COACH GALLAUDET UNIVERSITY BASEBALL TEAM."
Betty G. Miller was the first deaf woman to graduate from Gallaudet University with a PhD degree in art. She was a famous artist who focused on the deaf perspective.,"BETTY G. MILLER FIRST DEAF WOMAN GRADUATE GALLAUDET UNIVERSITY PHD ART. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] FAMOUS ARTIST FOCUS DEAF PERSPECTIVE."
"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.","FS:LOU FS:FERRIGNO SN:LOU-FERRIGNO NMF:PERSON DEAF PART MOTIVATIONAL SPEAKER ['POINT-RIGHT HE', 'NMF:PERSON MAN'] LIFE EXPERIENCE SHARE

['POINT-RIGHT HE', 'NMF:PERSON MAN'] MOVIE TV-SHOW NMF:MANY APPEAR ALSO

FAMOUS MOST WHY INCREDIBLE HULK PLAY"
Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.,HOWIE SEAGO WHO DEAF ACTOR DIRECTOR. POINT-RIGHT HE FAMOUS WHY NMF:MANY ROLE INCLUDE STAR TREK ACT
"Chuck Baird was an artist and founder of the De'VIA art movement, which conveys a Deaf world viewpoint through art.",CHUCK BAIRD WHO ARTIST ALSO DE'VIA ART MOVEMENT FOUNDER. DE'VIA MEAN WHAT? SHOW DEAF WORLD VIEW THROUGH ART.
Shelley Beattie was a deaf professional weightlifter who became famous after being on the TV show American Gladiators.,SHELLEY BEATTIE DEAF PROFESSIONAL WEIGHTLIFTER FAMOUS WHY TV SHOW AMERICAN GLADIATORS APPEAR
I enjoy having a conversation with my deaf friends.,NMF:ME ENJOY CHAT WITH DEAF FRIEND-PLURAL
"Lowell Myers was a deaf man who grew up in Chicago. He wrote the book, ""The Law and the Deaf.”","LOWELL MYERS WHO DEAF MAN GROW-UP WHERE CHICAGO. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] WRITE BOOK TITLE ""LAW DEAF"""
"Mandy Harvey became deaf at the age of 18. Interestingly enough, she was a singer on the television show ""America's Got Talent.""","MANDY HARVEY BECOME DEAF AGE EIGHTEEN

INTERESTING ['POINT-RIGHT SHE'] SINGER TELEVISION SHOW ""AMERICA'S GOT TALENT"""
Alice Hagemeyer was a deaf librarian and active leader that established Deaf Awareness Week and Deaf History Month.,ALICE HAGEMEYER DEAF LIBRARIAN ALSO ACTIVE LEADER. SHE ESTABLISH DEAF AWARENESS WEEK ALSO DEAF HISTORY MONTH.
Regina Hughes was the first deaf artist to have a solo show at the Smithsonian.,REGINA HUGHES DEAF ARTIST FIRST SOLO SHOW SMITHSONIAN HAVE
Ernest Hairston was one of the six founding members of the Black Deaf Advocates (BDA).,ERNEST HAIRSTON ONE SIX PERSON ESTABLISH BLACK DEAF ADVOCATES B-D-A
Malcolm Norwood was a deaf man from Connecticut who was known as the Father of Closed Captioning.,MALCOLM NORWOOD DEAF MAN FROM CONNECTICUT. PEOPLE KNOW HIM FATHER CLOSED CAPTIONING.
Martin Belsky was a deaf man from Michigan who was a leader of deaf sports at the local and national level.,MARTIN BELSKY DEAF MAN FROM MICHIGAN. HE LEADER DEAF SPORTS LOCAL NATIONAL LEVEL.
Derrick Coleman was the first deaf football player to participate in the Super Bowl in 2014.,DERRICK COLEMAN FIRST DEAF FOOTBALL PLAYER SUPER BOWL TWO THOUSAND FOURTEEN PARTICIPATE
In 1864 Abraham Lincoln approved Gallaudet College to award degrees.,YEAR EIGHTEEN SIXTY-FOUR ABRAHAM LINCOLN APPROVE GALLAUDET COLLEGE CAN GIVE DEGREE
Paul Hubbard was the quarterback for Gallaudet University in 1894 and he realized they needed a way to discuss plays in secret so he invented the football huddle.,EIGHTEEN NINETY-FOUR GALLAUDET UNIVERSITY HAVE QUARTERBACK NAME FS:PAUL FS:HUBBARD SN:PAUL-HUBBARD. POINT-RIGHT HE REALISE TEAM NEED WAY DISCUSS PLAY SECRET HOW. POINT-RIGHT HE INVENT FOOTBALL HUDDLE.
Kitty O'Neil was a well-known deaf stuntwoman and race car driver.,FS:KITTY FS:O'NEIL DEAF FAMOUS STUNTWOMAN ALSO RACE CAR DRIVER
"Ella Mae Lentz is a well-known Deaf teacher, poet, advocate, and author.",ELLA MAE LENTZ WHO? DEAF PERSON FAMOUS. TEACHER ALSO POET ALSO ADVOCATE ALSO AUTHOR.
LeRoy Colombo was the first Deaf lifeguard. He saved 907 people.,"LEROY COLOMBO FIRST DEAF LIFEGUARD. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] SAVE NINE-HUNDRED SEVEN PEOPLE"
Clayton Valli was deaf and was the first person to receive a PhD in Linguistics and ASL Poetics.,CLAYTON VALLI DEAF PERSON FIRST PHD LINGUISTICS FS:ASL POETRY ACHIEVE
"Robert Panera was the first deaf professor at the NTID (National Technical Institute for the Deaf). He was a successful author, historian, poet, and teacher.","ROBERT PANERA FIRST DEAF PROFESSOR NTID (NATIONAL TECHNICAL INSTITUTE FOR DEAF) ['POINT-RIGHT HE', 'NMF:PERSON MAN'] SUCCESSFUL AUTHOR HISTORIAN POET ALSO TEACHER"
"Alan Snare is a Deaf pastor, evangelist, and missionary to the deaf.",ALAN SNARE DEAF PASTOR EVANGELIST ALSO MISSIONARY DEAF COMMUNITY
KT Maviglia is hard of hearing and won the Miss Michigan pageant in 2015.,KT MAVIGLIA HARD-OF-HEARING PERSON TWO-ZERO-ONE-FIVE MISS MICHIGAN COMPETITION WIN
The first all-deaf vacation cruise took place through the Caribbean in 1992.,FIRST TIME DEAF-ALL HOLIDAY CRUISE HAPPEN CARIBBEAN YEAR NINETEEN NINETY-TWO
Gallaudet University's mascot is the Bison.,GALLAUDET UNIVERSITY THEIR MASCOT WHAT BISON
The National Technical Institute for the Deaf's mascot is the Tigers.,NATIONAL TECHNICAL INSTITUTE DEAF THEIR MASCOT TIGER
"Thomas Edison, who was hard of hearing, invented the phonograph and light bulb.",THOMAS EDISON DEAF PART INVENT WHAT PHONOGRAPH LIGHT-BULB ALSO
Nellie Zabel Willhite was the world's first licensed deaf pilot.,NELLIE ZABEL WILLHITE WORLD FIRST DEAF PILOT LICENSE ACHIEVE
NTD stands for National Theatre of the Deaf.,NTD MEAN WHAT NATIONAL THEATRE DEAF
I like to be active and not sit and watch TV all day.,ME PREFER ACTIVE NOT SIT WATCH TV ALL-DAY
Sean Berdy is a deaf actor well known for acting on the TV series Switched at Birth.,SEAN BERDY WHO DEAF ACTOR FAMOUS WHY TV SERIES NAME SWITCHED AT BIRTH ACT
"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?",YOU HAVE-A-LOOK MOVIE ABOUT KITTY O'NEIL LIFE? SHE DEAF STUNTWOMAN RACER
I watched a boring movie last night and fell asleep.,YESTERDAY NIGHT MOVIE BORING ME WATCH SLEEP
I love watching sports every Saturday.,EVERY SATURDAY NMF:ME LOVE WATCH SPORTS
Granville Redmond was a deaf artist. He was friends with Charlie Chaplin and gave him tips from ASL to use when acting in silent films.,GRANVILLE REDMOND DEAF ARTIST. CHARLIE CHAPLIN FRIEND. POINT-RIGHT HE CHARLIE CHAPLIN TEACH FS:ASL TIP USE HOW SILENT FILM ACT.
"Louise Fletcher is a CODA and actress. She one 3 awards. She won an Oscar, a BAFTA, and a Golden Globe award for one movie, called ""One Flew Over the Cuckoo's Nest"".","FS:LOUISE FS:FLETCHER SN:LOUISE-FLETCHER CODA ALSO ACTRESS

['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] AWARD WIN THREE

['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] AWARD WIN THREE WHAT FS:OSCAR ALSO FS:BAFTA ALSO FS:GOLDEN-GLOBE FILM ONE NAME FS:ONE-FLEW-OVER-CUCKOOS-NEST"
Marlee Matlin is a famous Deaf Actress. She won an Academy Award and a Golden Globe for her role in the movie Children of a Lesser God.,"FS:MARLEE FS:MATLIN SN:MARLEE-MATLIN FAMOUS DEAF ACTRESS. ['POINT-RIGHT SHE', 'NMF:PERSON WOMAN'] WIN ACADEMY-AWARD ALSO GOLDEN-GLOBE MOVIE ROLE WHAT FS:CHILDREN FS:OF FS:A FS:LESSER FS:GOD."
I laughed and laughed during the movie because it was funny.,MOVIE ME LAUGH++ REASON FUNNY
Christy Smith was the first deaf contestant to appear on the reality TV show Survivor.,"CHRISTY SMITH FIRST DEAF PERSON REALITY TV SHOW ""SURVIVOR"" APPEAR"
Linda Bove is a deaf actress. She played the role of Linda the librarian on Sesame Street for 31 years.,LINDA BOVE DEAF ACTRESS. POINT-RIGHT SHE WORK SESAME STREET THIRTY-ONE YEAR. ROLE WHAT LINDA LIBRARIAN.
The closed captions on our TV are always on.,TV CAPTIONS ALWAYS ON
Melissa McCarthy's movies are always humorous.,FS:MELISSA FS:MCCARTHY SN:MELISSA-MCCARTHY POSS FILM ALL FUNNY
"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","MATT HAMILL NMF:PERSON DEAF WRESTLER

POINT-RIGHT HE WIN THREE NCAA NATIONAL CHAMPIONSHIP

ALSO WIN SILVER GOLD MEDAL DEAFLYMPICS

ALSO MOVIE ABOUT POINT-RIGHT HE LIFE TITLE ""THE HAMMER"""
"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""","FS:PHYLLIS FS:FRELICH SN:PHYLLIS-FRELICH DEAF ACTRESS FAMOUS WHY WIN NINETEEN-EIGHTY BEST ACTRESS TONY AWARD PLAY TITLE ""CHILDREN OF A LESSER GOD"""
"Dwayne ""The Rock"" Johnson is hard as a rock, muscular, and has a nice smile.","DWAYNE ""ROCK"" JOHNSON TOPIC, BODY HARD LIKE ROCK, MUSCULAR, ALSO SMILE NICE"
Keith Wann is a CODA and well-known ASL performer and comedian.,FS:KEITH FS:WANN SN:KEITH-WANN CODA ALSO FAMOUS FS:ASL PERFORMER COMEDIAN
CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,"CJ JONES FAMOUS DEAF ACTOR ALSO COMEDIAN. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] SAY ANYTHING POSSIBLE. SUCCESS NOTHING CONNECT DEAF NMF:OR BLACK NMF:OR ANY DISABILITY. SUCCESS CONNECT YOUR PASSION DO GREATER THINGS LIFE."
I hate pirate movies!,NMF:ME PIRATE FILM HATE
"I like to watch the movie ""Elf"" on Christmas Eve.","CHRISTMAS EVE ME LIKE WATCH MOVIE ""ELF"""
"My favorite movie is ""Groundhog Day.""",FAVOURITE FILM WHAT FS:GROUNDHOG DAY
"My favorite science fiction movie is ""Star Wars.""","FAVORITE SCIENCE FICTION FILM MINE ""STAR WARS"""
"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.","FS:LOU FS:FERRIGNO SN:LOU-FERRIGNO NMF:PERSON DEAF PART MOTIVATIONAL SPEAKER ['POINT-RIGHT HE', 'NMF:PERSON MAN'] LIFE EXPERIENCE SHARE

['POINT-RIGHT HE', 'NMF:PERSON MAN'] MOVIE TV-SHOW NMF:MANY APPEAR ALSO

FAMOUS MOST WHY INCREDIBLE HULK PLAY"
Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.,HOWIE SEAGO WHO DEAF ACTOR DIRECTOR. POINT-RIGHT HE FAMOUS WHY NMF:MANY ROLE INCLUDE STAR TREK ACT
Shelley Beattie was a deaf professional weightlifter who became famous after being on the TV show American Gladiators.,SHELLEY BEATTIE DEAF PROFESSIONAL WEIGHTLIFTER FAMOUS WHY TV SHOW AMERICAN GLADIATORS APPEAR
MY FAVORITE PIRATE VIDEO GAME WHAT? P-L-U-N-D-E-R P-A-N-I-C!,MY FAVORITE PIRATE VIDEO GAME WHAT? FS:PLUNDER FS:PANIC
I love to cook hamburgers on the grill.,NMF:ME LOVE COOK HAMBURGER GRILL
I love anything that has chocolate in it.,NMF:ME LOVE ANYTHING CHOCOLATE HAVE INSIDE
I like to eat cheese on my broccoli.,NMF:ME LIKE CHEESE EAT ON BROCCOLI
I need to drink coffee to wake me up every morning.,MORNING EVERY NMF:ME COFFEE DRINK MUST WAKE-UP
I eat ice cream for dessert every night.,EVERY NIGHT ME EAT ICE CREAM DESSERT
I need a drink of water.,NMF:ME WATER DRINK WANT
Do you like Arby’s or Wendy’s french fries better?,YOU PREFER WHICH FRENCH FRIES BETTER NMF:OR ARBY'S WENDY'S
My family grows watermelon in our garden.,FAMILY POSS-MY GARDEN WATERMELON GROW
My girlfriends are coming over for dinner tonight.,TONIGHT DINNER MY GIRLFRIEND GROUP COME-OVER
My favorite vegetable is corn on the cob.,VEGETABLE FAVORITE ME CORN-ON-COB
My favorite kind of popcorn is kettle corn.,POPCORN FAVORITE ME WHICH KETTLE-CORN
My aunt makes the best cakes!,MY AUNT CAKE MAKE BEST
M&M's are my favorite kind of candy.,M&M'S POINT-DOWN FAVOURITE SWEET ME
Do you like chocolate ice cream?,YOU LIKE CHOCOLATE ICE-CREAM LIKE-WHAT
